State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.64619	1.64270	1.63922	1.63980	1.62701	1.62527	1.62353	1.62295	1.61249	1.59912	1.60842	1.61249	1.60726	1.60435	1.60203	1.60667	1.60842	1.60842	1.60551	1.60377	1.60609
2	0.55010	0.55015	0.55209	0.55241	0.55590	0.55891	0.55983	0.56155	0.56896	0.57794	0.58659	0.59702	0.60551	0.61314	0.62196	0.63056	0.63964	0.64824	0.65560	0.66329	0.67114
3	1.72714	1.72452	1.73500	1.74286	1.74286	1.71403	1.74548	1.75597	1.72190	1.68782	1.62492	1.55678	1.52271	1.50437	1.50174	1.43098	1.42050	1.42050	1.39429	1.36808	1.36284
4	3.50497	3.51562	3.52050	3.53514	3.53337	3.53248	3.51517	3.49165	3.46591	3.44062	3.42065	3.34964	3.30260	3.26044	3.20542	3.13086	3.03545	2.95779	2.88368	2.81356	2.75143
5	1.38375	1.39562	1.37696	1.35662	1.32270	1.30065	1.29302	1.26844	1.24469	1.22180	1.18110	1.15906	1.13871	1.10395	1.06749	1.05138	1.02679	1.03272	1.02000	1.02340	1.01916
6	2.70229	2.63880	2.69435	2.79356	2.85308	2.92450	2.94038	2.92450	2.92054	2.81340	2.74991	2.62690	2.41262	2.32929	2.30945	2.24596	2.36500	2.32135	2.38087	2.30548	2.18247
7	4.44156	4.43296	4.29523	4.12738	3.93801	3.73573	3.59371	3.43877	3.32256	3.17623	2.96965	3.05573	3.18054	3.17193	3.20636	3.15471	3.25370	3.23218	3.16763	3.14180	3.21497
8	2.83240	2.79005	2.78475	2.73181	2.74240	2.84829	2.76887	2.79005	2.56240	2.46181	2.30298	2.08592	1.88474	1.99592	2.02768	2.16004	2.03827	2.18651	2.20769	2.25004	2.20769
9	0.73043	0.73158	0.72929	0.73158	0.73043	0.72555	0.72469	0.72986	0.73589	0.73904	0.76057	0.76000	0.76373	0.77320	0.78927	0.80879	0.81826	0.82055	0.82716	0.83978	0.85040
10	1.53614	1.51457	1.52320	1.51672	1.58576	1.61165	1.76052	1.90076	1.96333	2.01079	1.92233	2.06257	2.15750	2.10356	1.98059	1.93959	1.96764	1.94175	2.01295	2.00648	1.96764
