State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.57571	2.60187	2.59520	2.58597	2.52802	2.43980	2.26337	2.05975	1.83921	1.70483	1.61610	1.59559	1.67868	1.84485	1.99308	2.11566	2.21259	2.26234	2.29260	2.29978	2.29004
2	0.47549	0.46007	0.44437	0.42658	0.40656	0.38108	0.35214	0.32624	0.30537	0.29204	0.28544	0.28445	0.28962	0.29612	0.30727	0.32283	0.33606	0.34930	0.36035	0.37088	0.38141
3	0.82122	0.82353	0.82816	0.83972	0.85823	0.87442	0.85129	0.82122	0.82816	0.85129	0.88830	0.90218	0.88136	0.86517	0.85823	0.85360	0.86286	0.84898	0.85129	0.83047	0.83047
4	1.01646	0.96711	0.91070	0.83276	0.75481	0.68195	0.61027	0.55230	0.50725	0.49119	0.47827	0.47396	0.49041	0.51940	0.54995	0.60753	0.71681	0.84020	0.96868	1.11204	1.23934
5	1.51548	1.33138	1.12332	0.91004	0.75287	0.62789	0.55904	0.51115	0.47822	0.45951	0.46774	0.49094	0.50666	0.52537	0.57326	0.67804	0.93398	1.45261	2.18753	2.84311	3.45754
6	5.97169	6.52158	6.96639	7.11699	6.35696	4.92095	3.37287	2.49375	2.03493	1.84930	1.87381	1.82478	2.02792	2.90003	6.06976	12.04845	17.73995	20.57344	20.86064	19.76787	18.00613
7	5.45125	6.51491	8.06481	10.36307	13.96052	18.80016	24.97318	32.32762	39.62128	42.41718	46.72500	53.41465	53.14114	50.24647	44.54070	35.67814	26.45091	19.17624	14.04409	10.50363	8.03442
8	3.50937	4.26171	5.43929	7.11220	9.74306	13.64028	18.85994	22.87399	25.07961	27.59365	25.79924	19.43939	17.82723	17.04685	15.62160	13.16832	10.46269	8.07482	5.97668	4.55143	3.60750
9	1.93618	1.92579	1.90020	1.83130	1.72085	1.52325	1.24434	0.91223	0.64725	0.51983	0.46688	0.45244	0.48107	0.51957	0.57125	0.63230	0.69310	0.75061	0.79038	0.81318	0.81850
10	1.96526	2.13283	2.28137	2.54417	2.69461	2.95550	3.03167	2.90789	2.54798	2.32136	1.88337	1.32350	1.17306	1.12545	1.19210	1.30255	1.39777	1.42062	1.34064	1.32160	1.29303
