State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	5.98340	2.30193	1.46864	0.90947	1.60859	1.61615	2.30365	0.64694
2	64.68862	0.14379	0.49835	0.78339	0.58665	0.28545	0.39171	1.33195
3	1.32660	1.49261	1.60706	0.71040	1.62509	0.88833	0.83538	0.98598
4	7.83455	0.64668	3.71761	2.19489	3.42012	0.47828	0.74754	0.19051
5	4.10057	0.48408	1.51361	2.28777	1.18038	0.46775	1.00437	0.08367
6	0.87619	1.16861	2.50235	2.24209	2.75019	1.87387	7.06396	0.05784
7	0.80784	51.65800	8.11753	1.75802	2.96996	46.72263	23.40916	0.15723
8	0.65672	33.50209	4.45044	1.07916	2.30322	25.80004	13.23821	0.57900
9	12.11401	0.14705	0.60748	0.84919	0.76065	0.46690	1.05949	0.49033
10	1.61150	0.84105	1.53810	1.22965	1.92253	1.88343	1.96395	0.20210
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
