State (Emission order)	H3k9me3	H3k27me3	H2AFZ	H3k4me2	H3k4me3	H3k9ac	H3K27ac	H3k4me1	H3k79me2	H3k36me3
1	0.002451710343357292	0.21988998639033458	0.0058355021900557726	0.002657586241685177	3.504316053613292E-4	0.0017137928833088549	1.2440096657076338E-4	0.0026404775997218985	1.1458024815280484E-4	2.9733134928021534E-4
2	0.005376182291360694	0.002582064630881549	0.0014350498330054648	1.6070313577788746E-4	5.463582352656545E-5	9.359496435466564E-4	6.94756824050613E-5	2.475145480750697E-4	1.2723075788461557E-4	5.635395304845271E-4
3	0.28148661367866146	0.007636445181615456	0.009715226429373383	2.22924838378397E-4	0.0021125210913237854	0.004523234469815133	4.7796164736872726E-4	5.340581399535619E-4	0.002685264633433819	0.014999911326964837
4	0.0017642075088478313	3.665247902898881E-4	0.0016261746908233436	0.001766202833634041	1.1184925429656232E-4	0.0022866172734474052	0.002803355801045675	0.00915908282253025	0.05127804904129186	0.18246053823601294
5	0.006324017988839866	5.21950836116151E-4	0.0056240642645026115	0.013911457008868233	3.343760566930627E-4	0.003008521924190896	0.00950478322158344	0.036926575689441785	0.7809620864474172	0.13945990072195422
6	0.00398180060138789	0.001022150702382777	0.07850700517089954	0.6860454008506843	0.2748942763627274	0.03813294982191582	0.4005290332262746	0.44483694086399245	0.9222322142576711	0.18853435172207736
7	0.0031265901897361407	0.0036457169310413406	0.7033865794214899	0.9141680061408767	0.9859496290746159	0.6764317999378077	0.8914741019349263	0.11376804617549485	0.586285843329394	0.026563475191629025
8	0.01956998215557067	0.15708769979262371	0.6787769372592668	0.7714321487061739	0.4762343765579721	0.04701961856186119	0.04870907267233446	0.12526640775276104	0.01667752450621569	0.008325331203008613
9	0.0014503870929477112	0.0032201172468823256	0.09647520486584221	0.004637061621299564	5.827496549434552E-5	0.001999337835218523	6.483311697338568E-4	0.015580649522208868	8.598921186625367E-4	9.435194845702881E-4
10	0.003367205899755052	0.0012080170095975834	0.3950941119480115	0.4476412882820069	0.027408306408647255	0.029519923009203038	0.4259796281065468	0.5198075424563333	0.02365214334101465	0.02320585942627357
